"month_","brand","revenue"
2020-10-01 00:00:00.000,asus,8625.0
2020-10-01 00:00:00.000,gigabyte,25658.0
2020-10-01 00:00:00.000,msi,24945.0
2020-10-01 00:00:00.000,palit,7112.0
2020-10-01 00:00:00.000,powercolor,3847.0
2020-10-01 00:00:00.000,sapphire,19740.0
2021-01-01 00:00:00.000,asus,104962.0
2021-01-01 00:00:00.000,gigabyte,204646.0
2021-01-01 00:00:00.000,msi,227456.0
2021-01-01 00:00:00.000,palit,187266.0
2021-01-01 00:00:00.000,powercolor,37602.0
2021-01-01 00:00:00.000,sapphire,119553.0
