"category_code","uniq_count_view","uniq_count_cart","conversion_to_cart"
appliances.environment.vacuum,3826,263,6.87
appliances.sewing_machine,2991,165,5.52
appliances.kitchen.mixer,1157,51,4.41
appliances.kitchen.meat_grinder,1422,62,4.36
appliances.kitchen.kettle,1376,56,4.07
appliances.kitchen.grill,1820,64,3.52
appliances.kitchen.microwave,1415,39,2.76
appliances.kitchen.coffee_machine,2261,42,1.86
appliances.kitchen.juicer,1344,6,0.45
