"date_month","count_sessions"
2020-10-01 00:00:00.000,4139
2020-11-01 00:00:00.000,4898
2020-12-01 00:00:00.000,4338
2021-01-01 00:00:00.000,5451
2021-02-01 00:00:00.000,4945
