"date_month","count_users"
2020-10-01 00:00:00.000,84204
2020-11-01 00:00:00.000,92583
2020-12-01 00:00:00.000,72131
2021-01-01 00:00:00.000,81248
2021-02-01 00:00:00.000,74604
