"date_month","stickiness"
2020-10-01 00:00:00.000,3.53
2020-11-01 00:00:00.000,3.70
2020-12-01 00:00:00.000,3.59
2021-01-01 00:00:00.000,3.65
2021-02-01 00:00:00.000,4.00
